id,# Pages / Video Length:,Abstract:,Author:,NSGL Document #:,Program Report #:,Project #:,Publication Type:,Publication Year :,Sea Grant Program/Affiliate:,Title:,Notes:,URL:,Source Citation:,Editor :,DOI #:,Publisher:,Grant/Contract #:
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593510_2402_2815416.csv,NA,"Oregon Coast STEM Hub January 2015 e-newsletter provides dates of Hub Happenings, professional development opportunities, and student opportunities for the current month; volunteer opportunities for the following month; and miscellaneous upcoming events.","Goodwin, Cait",ORESU-N-15-01a,ORESU-N-15-01a,A/ESG-07,periodicals,2015,Oregon Sea Grant,Oregon Coast STEM Hub e-Blast (January 2015),NA,http://oregonco​aststemhub.cmai​l1.com/t/ViewEm​ail/t/47930065F​F0033EA/F63BC38​AF19B6102D9767B​6002735221,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593531_2401_2815415.csv,NA,"Oregon Coast STEM Hub February 2015 e-newsletter provides dates of Hub Happenings, teacher workshops, online series for teachers, student events and contests, dates of summer and school breaks events, and miscellaneous upcoming events.","Goodwin, Cait",ORESU-N-15-01b,ORESU-N-15-01b,A/ESG-07,periodicals,2015,Oregon Sea Grant,Oregon Coast STEM Hub e-Blast (February 2015),NA,http://oregonco​aststemhub.cmai​l2.com/t/ViewEm​ail/t/DABF3C4D1​86AEB9D/F63BC38​AF19B6102D9767B​6002735221,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593551_2400_2815414.csv,NA,"Oregon Coast STEM Hub March 2015 e-newsletter provides dates of upcoming student competitions, March professional development, request for volunteers, funding opportunities, and dates of other miscellaneous upcoming events.","Goodwin, Cait",ORESU-N-15-01c,ORESU-N-15-01c,A/ESG-07,periodicals,2015,Oregon Sea Grant,Oregon Coast STEM Hub e-Blast (March 2015),NA,http://oregonco​aststemhub.cmai​l19.com/t/ViewE​mail/t/32D7301F​6DD55126/F63BC3​8AF19B6102D9767​B6002735221,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593572_2399_2815413.csv,NA,"Oregon Coast STEM Hub April 2015 e-newsletter provides dates of upcoming April events, teacher professional development opportunities, funding opportunities, and dates of summer STEM activities.","Goodwin, Cait",ORESU-N-15-01d,ORESU-N-15-01d,A/ESG-07,periodicals,2015,Oregon Sea Grant,Oregon Coast STEM Hub e-Blast (April 2015),NA,http://oregonco​aststemhub.cmai​l1.com/t/ViewEm​ail/t/62F7CA335​B029768/F63BC38​AF19B6102D9767B​6002735221,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593592_3427_2816441.csv,23:01 minutes,"The fate of salmon in the Pacific Northwest is a perennial concern. This video combines rare color-film footage of the great Indian fishery at Celilo Falls on the Columbia River with public radio reports from 1990-91 about the listing of certain salmon populations under the Endangered Species Act (ESA). Four radio stories are 1) How the Salmon ESA decision was made, with Merritt Tuttle of NMFS; 2) An interview with Bill Bakke of Oregon Trout, an ESA petitioner; 3) Trying to help migrating salmon at Bonneville Dam, with OSU biologist Alec Maule; and 4) an Indian view of the salmon crisis, with Ted Strong of CRITFC. The silent film footage is courtesy of the Army Corps of Engineers, Portland District.","Cone, Joseph",ORESU-V-15-005,ORESU-V-15-005,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Salmon mashup: rare Celilo Falls film and radio chronicle [online video],NA,https://vimeo.c​om/122664940 (Vimeo video) https://youtu.b​e/EfqL5_2sMwM (YouTube video),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593614_3426_2816440.csv,1,"There has been concern in U.S. coastal communities that debris arriving on Pacific beaches from the 2011 Japanese tsunami and nuclear power plant meltdown was radioactive, despite little evidence of this. A study examined the ability of implicit dimensions of risk perception and explicit feelings to predict behavior relevant to tsunami debris. 44 visitors to a marine museum on the Oregon coast were given separate single-category IATs measuring distinct affective dimensions of perceived risk (danger/safety, afraid/unafraid​, dread/calm) towards such debris, similar explicit measures, and items assessing behavioral intentions towards tsunami debris. Results indicated that on average participants had weakly negative implicit attitudes towards tsunami debris, that explicit and implicit attitudes were relatively unrelated, and that the less informed people were the more negative their implicit attitudes. However, this was unrelated to an interest in gaining more information about debris. Overall, explicit attitudes predicted behavioral variables most strongly. The ability of different implicit dimensions of risk perception to predict behavior relevant to beach debris from the 2011 Japanese tsunami was examined. U.S. coastal visitors were given IATs measuring three affective risk dimensions. Less informed people were had more negative implicit attitudes. Explicit attitudes predicted behavioral variables most strongly.","Edwards, John;Falkenstein, Angelica;Needham, Shana;Cone, Joe",ORESU-WR-15-001,ORESU-WR-15-001,R/S-18-PD,reprints (not peer-reviewed),2015,Oregon Sea Grant,Implicit versus explicit feelings towards tsunami debris risk (poster presentation),NA,NA,"2015 meeting of the Society for Personality and Social Psychology, poster presentation, Long Beach, California, February 26-28, 2015",NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593713_3425_2816439.csv,240,"Microbial natural products represent a massive repository of unique chemical scaffolds with corresponding diverse biological functions. However, in the past decade the development of natural products into new therapeutics has dwindled, in part due to the challenges posed by high rediscovery rates and low throughput associated with classical bioassay-guided fractionation methods. Recent research shows that most microbes express only a fraction of their total biosynthetic potential under standard monophyletic culture conditions. The research presented here focuses on applying new cultivation and analytical methodology to marine cyanobacteria and the relatively unexplored microbial communities inhabiting deep sea-​hydrothermal vents (DSV). The former group yielded two new antimalarial depsipeptides, ​ companeramides A and B, and two new members of the lyngbyaloside group of glycoside macrolides, with further analogues of each class identified by mass spectral networking of cyanobacterial extracts. A rapid, plate-based fractionation and screening approach was applied to DSV bacteria, along with co-​cultivation methodology, to identify new biologically active molecules and the role of these molecules in bacterial interactions was explored by imaging mass spectrometry.","Vining, Oliver B.",ORESU-Y-15-001,ORESU-Y-15-001,R/BT-52,theses/disserta​tions,2015,Oregon Sea Grant,Biologically active metabolites from marine microorganisms: methods to identify drug leads and chemical signals,NA,NA,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10595862_2398_2815412.csv,58,"Regional Framework for Climate Adaptation builds on Oregon’s state-level Climate Change Adaptation Framework. It is based on an overview of downscaled climate projections specific to the region and expert presentations about the effects of projected changes on natural systems in Clatsop and Tillamook Counties. This regional framework is designed to help communities, land managers, and people in Clatsop and Tillamook Counties identify and revise policies, standards, criteria, and management practices that may underestimate risks to people, property, resources, and infrastructure from future climate conditions.","Weber, Jeffrey A.;Stevenson, John;Kelly, Miriah;Cone, Joe",ORESU-H-15-003,ORESU-H-15-003,A/CC-18,"handbooks, manuals, guides",2015,Oregon Sea Grant,Regional framework for climate adaptation: Clatsop and Tillamook Counties,NA,www.climateadap​tationplanning.​net (related info),NA,"Cooper, Rick",NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10612466_1305_2814319.csv,33,"This research report is a companion to the report of the project process and outcomes, Regional Framework for Climate Adaptation: Clatsop and Tillamook Counties. The Regional Framework project, conducted from 2013 to early 2015, built on the foundation of Oregon’s state-level Climate Change Adaptation Framework, produced in 2010. With that foundation, and with an apparent interest on the part of state, federal, and local officials in exploring how the state framework might be applicable at a regional scale, the Regional Framework project captured the attention of 123 participants, 84 of whom participated in one or more of the project’s three workshops, described in detail in this report. The project also claimed the attention of a cadre of staff and affiliates of Oregon Sea Grant, whose research report this is. All but one of the authors of this report were directly involved in project activities, so readers should recognize this report as a perspective on the project rather than an independent evaluation of it.","Cone, Joe;Johnson, Monty;Kelly, Miriah;Duncan, Colin;Winters, Kirsten;Stevenson, John",ORESU-S-15-001,ORESU-S-15-001,A/CC-18,technical reports/surveys​/patents,2015,Oregon Sea Grant,Some research perspective on the regional framework for Climate Adaptation Project.,NA,NA,NA,"Cooper, Rick",NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10612721_1056_2814070.csv,0:47 minutes,"A time-lapse and real-time video depicting some of the “working waterfront” activities in Charleston, Oregon.","Farley, Mark",ORESU-V-15-006,ORESU-V-15-006,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Charleston [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=g7vPNAGuG4E http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613205_1304_2814318.csv,2:14 minutes,A video showing how commercial salmon troller Paul Merz does his job.,"Farley, Mark",ORESU-V-15-007,ORESU-V-15-007,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Salmon Troller [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=rr3DW8L5aqc http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613274_575_2813589.csv,1:02 minutes,"A video featuring University of Oregon graduate student Amy Burgess, who describes some of the activities undertaken by the Oregon Institute of Marine Biology.","Farley, Mark",ORESU-V-15-008,ORESU-V-15-008,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Scientific research at Oregon Institute of Marine Biology [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=ZPZMrd7niPA http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613295_1055_2814069.csv,1:46 minutes,"A video about the timber industry in the Coos Bay, Oregon, area.","Farley, Mark",ORESU-V-15-009,ORESU-V-15-009,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Lumber Mill [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=wz-​GMe-​gAlg\ http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613417_1054_2814068.csv,1:38 minutes,"A video about the Coast Guard’s activities in Coos Bay, Oregon.","Farley, Mark",ORESU-V-15-010,ORESU-V-15-010,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Coast Guard cutter [online video].,This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=wWhwujEwXoI http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613438_1303_2814317.csv,1:14 minutes,"A video about how tide gates work, narrated by Jon Souder, executive director of the Coos Watershed Association.","Farley, Mark",ORESU-V-15-011,ORESU-V-15-011,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Tide Gates [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=oROqhrXYYFs http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613460_1302_2814316.csv,1:27 minutes,A video showing how oysters are grown and harvested by one Oregon oyster producer.,"Farley, Mark",ORESU-V-15-012,ORESU-V-15-012,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Oyster Growers: Harvesting [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=osQrLvTx5EI http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613482_1301_2814315.csv,0:56 minutes,A video showing how ground fish are processed after offloading from fishing vessels.,"Farley, Mark",ORESU-V-15-013,ORESU-V-15-013,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Seafood Processing: Filleting Fish [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=sQ_nQOhqJuE http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613507_1053_2814067.csv,1:12 minutes,A video showing how Oregon pink shrimp are processed after offloading from fishing vessels.,"Farley, Mark",ORESU-V-15-014,ORESU-V-15-014,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Seafood Processing: Oregon Pink Shrimp [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=H1PCbkEiKpY http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613528_1300_2814314.csv,1:20 minutes,A video showing how live oysters are harvested and processed on the Oregon coast.,"Farley, Mark",ORESU-V-15-015,ORESU-V-15-015,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour: Oyster Growers -- Processing [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=TinYzZ2_uMo http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613549_1299_2814313.csv,2:31 minutes,A video showing how a shrimp trawler sustainably harvests Oregon pink shrimp.,"Farley, Mark",ORESU-V-15-016,ORESU-V-15-016,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Shrimp trawler [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=7itY_38g-​Fg http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10613570_1298_2814312.csv,0:38 minutes,"A video showing how port biologists from the Oregon Fish and Wildlife Department monitor fish landings, take samples and measurements, and look for internal tags to make decisions about sustainable harvests.","Farley, Mark",ORESU-V-15-017,ORESU-V-15-017,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon’s Working Waterfront Tour – Seafood processing: Port biologist [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=oSQLKk_Hgg0 http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/11672312_1297_2814311.csv,2:26 minutes,"A video showing how one Oregon tuna fisherman uses a troller to catch, keep, and transport tuna.","Farley, Mark",ORESU-V-15-018,ORESU-V-15-018,A/ESG-13-IC2,videos,2015,Oregon Sea Grant,Oregon's working waterfront tour--Tuna troller [online video],This video is a precursor to Oregon's Working Waterfronts [mobile app]; see ORESU-I-16-001,https://www.you​tube.com/watch?​v=NAdE0HwjqPU http://nsgl.gso​.uri.edu/oresu/​oresuv15006_021​.html (Oregon's Working Waterfront Tour Series) https://itunes.​apple.com/us/ap​p/oregons-​working-​waterfronts/id9​62972556?mt=8 (Related app: iTunes) https://play.go​ogle.com/store/​apps/details?id​=edu.oregonstat​e.cass.WorkingW​aterfrontsMobil​e (Related app: Google Play),NA,NA,NA,NA,NA
